0.0,0.013,0.005,0.007,0.007,0.003
0.0,0.0128,0.005,0.007,0.0068,0.003
0.0,0.0126,0.005,0.007,0.0066,0.003
0.0,0.0124,0.005,0.007,0.0064,0.003
0.0,0.0122,0.005,0.007,0.0062,0.003
0.0,0.012,0.005,0.007,0.006,0.003
0.0,0.0118,0.0048,0.007,0.0058,0.0028
0.0,0.0116,0.0046,0.007,0.0056,0.0026
0.0,0.0114,0.0044,0.007,0.0054,0.0024
0.0,0.0112,0.0042,0.007,0.0052,0.0022
0.0,0.011,0.004,0.007,0.005,0.002
0.0,0.0107,0.0039,0.0069,0.0049,0.002
0.0,0.0104,0.0038,0.0068,0.0048,0.002
0.0,0.0101,0.0037,0.0067,0.0047,0.002
0.0,0.0098,0.0036,0.0066,0.0046,0.002
0.0,0.0095,0.0035,0.0065,0.0045,0.002
0.0,0.0092,0.0034,0.0064,0.0044,0.002
0.0,0.0089,0.0033,0.0063,0.0043,0.002
0.0,0.0086,0.0032,0.0062,0.0042,0.002
0.0,0.0083,0.0031,0.0061,0.0041,0.002
0.0,0.008,0.003,0.006,0.004,0.002
0.0,0.0078,0.003,0.0059,0.0039,0.0019
0.0,0.0076,0.003,0.0058,0.0038,0.0018
0.0,0.0074,0.003,0.0057,0.0037,0.0017
0.0,0.0072,0.003,0.0056,0.0036,0.0016
0.0,0.007,0.003,0.0055,0.0035,0.0015
0.0,0.0068,0.003,0.0054,0.0034,0.0014
0.0,0.0066,0.003,0.0053,0.0033,0.0013
0.0,0.0064,0.003,0.0052,0.0032,0.0012
0.0,0.0062,0.003,0.0051,0.0031,0.0011
0.0,0.006,0.003,0.005,0.003,0.001
0.0,0.0058,0.0029,0.0049,0.0029,0.001
0.0,0.0056,0.0028,0.0048,0.0028,0.001
0.0,0.0054,0.0027,0.0047,0.0027,0.001
0.0,0.0052,0.0026,0.0046,0.0026,0.001
0.0,0.005,0.0025,0.0045,0.0025,0.001
0.0,0.0048,0.0024,0.0044,0.0024,0.001
0.0,0.0046,0.0023,0.0043,0.0023,0.001
0.0,0.0044,0.0022,0.0042,0.0022,0.001
0.0,0.0042,0.0021,0.0041,0.0021,0.001
0.0,0.004,0.002,0.004,0.002,0.001
0.0,0.00393095,0.00191508,0.00393095,0.00191508,0.00100794
