ISO-Numeric,Country,ISO-Alpha3,GTAP7,SRES_4reg,SRES_11reg,RECCAP1,Raupach_2007,Houghton_2001,IMACLIM,Kyoto,RCP_5reg,RCP_10reg,Houghton_2017,AR6_5reg,AR6_10reg,AR6_22reg
4,Afghanistan,AFG,24,3,7,0,9,8,11,2,1,9,8,2,10,14
8,Albania,ALB,74,2,4,7,8,3,3,2,5,4,5,3,5,17
10,Antarctica,ATA,0,0,0,0,0,0,0,2,0,5,0,0,0,0
12,Algeria,DZA,95,4,9,1,8,4,10,2,3,7,8,1,1,12
16,American Samoa,ASM,3,3,8,3,9,9,11,2,4,10,10,2,9,4
20,Andorra,AND,82,2,4,7,4,3,3,2,5,2,5,3,5,17
24,Angola,AGO,100,4,11,1,9,5,10,2,3,6,1,1,1,18
28,Antigua and Barbuda,ATG,45,4,10,0,8,2,12,2,2,5,2,5,6,3
31,Azerbaijan,AZE,87,2,5,0,5,6,5,2,5,4,6,4,4,7
32,Argentina,ARG,29,4,10,10,8,2,12,2,2,5,2,5,6,15
36,Australia,AUS,1,1,3,3,4,9,4,1,4,3,10,3,2,2
40,Austria,AUT,46,1,2,7,2,3,3,1,4,2,5,3,5,13
44,Bahamas,BHS,45,4,10,0,8,2,12,2,2,5,2,5,6,3
48,Bahrain,BHR,91,4,9,0,8,4,9,2,3,7,8,1,7,11
50,Bangladesh,BGD,20,3,7,6,9,8,11,2,1,9,3,2,10,14
51,Armenia,ARM,86,2,5,0,5,6,5,2,5,4,6,4,4,7
52,Barbados,BRB,45,4,10,0,8,2,12,2,2,5,2,5,6,3
56,Belgium,BEL,47,1,2,7,2,3,3,1,4,2,5,3,5,13
60,Bermuda,BMU,28,1,2,8,4,3,12,2,4,5,0,3,8,8
64,Bhutan,BTN,24,3,7,6,9,8,11,2,1,9,3,2,10,14
68,Bolivia Plurinational State of,BOL,30,4,10,10,8,2,12,2,2,5,2,5,6,15
70,Bosnia and Herzegovina,BIH,82,2,4,7,8,3,3,2,5,4,5,3,5,17
72,Botswana,BWA,111,4,11,1,8,5,10,2,3,6,1,1,1,18
74,Bouvet Island,BVT,0,0,0,0,0,0,0,2,0,5,0,5,6,15
76,Brazil,BRA,31,4,10,10,8,2,8,2,2,5,2,5,6,15
84,Belize,BLZ,44,4,10,0,8,2,12,2,2,5,2,5,6,10
86,British Indian Ocean Territory,IOT,110,4,11,0,8,5,10,2,3,9,1,1,1,5
90,Solomon Islands,SLB,3,3,8,3,9,9,11,2,4,10,10,2,9,4
92,Virgin Islands British,VGB,45,4,10,10,8,2,12,2,2,10,2,5,6,3
96,Brunei Darussalam,BRN,19,3,8,5,8,8,11,2,1,10,3,2,9,16
100,Bulgaria,BGR,75,2,4,11,8,3,3,2,5,4,5,3,5,17
104,Myanmar,MMR,13,3,8,5,9,8,11,2,1,10,3,2,9,16
108,Burundi,BDI,110,4,11,1,9,5,10,2,3,6,1,1,1,5
112,Belarus,BLR,76,2,5,9,5,6,5,2,5,4,6,4,4,7
116,Cambodia,KHM,10,3,6,5,9,8,11,2,1,10,3,2,9,16
120,Cameroon,CMR,99,4,11,1,8,5,10,2,3,6,1,1,1,18
124,Canada,CAN,25,1,1,8,4,1,2,1,4,1,4,3,8,19
132,Cabo bierde,CPV,98,4,11,1,9,5,10,2,3,6,1,1,1,20
136,Cayman Islands,CYM,45,4,10,0,8,2,12,2,2,5,2,5,6,3
140,Central African Republic,CAF,99,4,11,1,9,5,10,2,3,6,1,1,1,18
144,Sri Lanka,LKA,23,3,7,6,8,8,11,2,1,9,3,2,10,9
148,Chad,TCD,99,4,11,1,9,5,10,2,3,6,1,1,1,18
152,Chile,CHL,32,4,10,10,8,2,12,2,2,5,2,5,6,15
156,China,CHN,4,3,6,4,6,7,6,2,1,8,7,2,3,6
158,Taiwan,TWN,8,3,6,4,4,9,11,2,1,8,7,2,3,6
162,Christmas Island,CXR,19,3,8,5,9,8,11,2,1,10,3,3,2,1
166,Cocos (Keeling) Islands,CCK,19,3,8,5,9,8,11,2,1,10,3,3,2,1
170,Colombia,COL,33,4,10,10,8,2,12,2,2,5,2,5,6,15
174,Comoros,COM,110,4,11,1,9,5,10,2,3,6,1,1,1,5
175,Mayotte,MYT,110,4,11,1,8,5,10,2,3,6,1,1,1,5
178,Congo,COG,99,4,11,1,9,5,10,2,3,6,1,1,1,18
180,Congo the Democratic Republic of the,COD,100,4,11,1,9,5,10,2,3,6,1,1,1,18
184,Cook Islands,COK,3,3,8,3,8,9,11,2,4,10,10,2,9,4
188,Costa Rica,CRI,40,4,10,0,8,2,12,2,2,5,2,5,6,10
191,Croatia,HRV,77,2,4,7,8,3,3,1,5,4,5,3,5,17
192,Cuba,CUB,45,4,10,0,8,2,12,2,2,5,2,5,6,3
196,Cyprus,CYP,48,1,2,7,2,4,3,1,5,4,8,3,5,17
203,Czechia,CZE,49,2,4,7,8,3,3,1,5,4,5,3,5,17
204,Benin,BEN,98,4,11,1,9,5,10,2,3,6,1,1,1,20
208,Denmark,DNK,50,1,2,7,2,3,3,1,4,2,5,3,5,13
212,Dominica,DMA,45,4,10,10,8,2,12,2,2,5,2,5,6,3
214,Dominican Republic,DOM,45,4,10,10,8,2,12,2,2,5,2,5,6,3
218,Ecuador,ECU,34,4,10,10,8,2,12,2,2,5,2,5,6,15
222,El Salvador,SLV,44,4,10,0,8,2,12,2,2,5,2,5,6,10
226,Equatorial Guinea,GNQ,99,4,11,1,9,5,10,2,3,6,1,1,1,18
231,Ethiopia,ETH,101,4,11,1,9,5,10,2,3,6,1,1,1,5
232,Eritrea,ERI,110,4,11,1,9,5,10,2,3,6,1,1,1,5
233,Estonia,EST,51,2,5,7,5,6,3,1,5,4,6,3,5,13
234,Faroe Islands,FRO,82,2,4,0,4,3,3,2,5,2,5,3,5,13
238,Falkland Islands (Malvinas),FLK,39,4,10,10,8,2,12,2,2,5,2,5,6,15
239,South Georgia and the South Sandwich Islands,SGS,0,0,0,0,0,0,0,2,0,5,0,5,6,15
242,Fiji,FJI,3,3,8,3,8,9,11,2,4,10,10,2,9,4
246,Finland,FIN,52,1,2,7,2,3,3,1,4,2,5,3,5,13
